Command: /home/921088438/final/Final--AS/./simv -l simv.log +ntb_random_seed=1
Chronologic VCS simulator copyright 1991-2020
Contains Synopsys proprietary information.
Compiler version R-2020.12-SP2-11_Full64; Runtime version R-2020.12-SP2-11_Full64;  May 21 17:47 2024
VCD+ Writer R-2020.12-SP2-11_Full64 Copyright (c) 1991-2020 by Synopsys Inc.
Reset successful.
PASS: Expected sum 4895, DUT sum 4895
PASS: Expected sum 48c8, DUT sum 48c8
PASS: Expected sum 4927, DUT sum 4927
PASS: Expected sum 49be, DUT sum 49be
PASS: Expected sum 4a08, DUT sum 4a08
PASS: Expected sum 4adc, DUT sum 4adc
PASS: Expected sum 4b97, DUT sum 4b97
PASS: Expected sum 4c6f, DUT sum 4c6f
PASS: Expected sum 4cff, DUT sum 4cff
PASS: Expected sum 4db7, DUT sum 4db7
PASS: Expected sum 4e57, DUT sum 4e57
PASS: Expected sum 4f19, DUT sum 4f19
PASS: Expected sum 4f3e, DUT sum 4f3e
PASS: Expected sum 5005, DUT sum 5005
PASS: Expected sum 50e9, DUT sum 50e9
PASS: Expected sum 5132, DUT sum 5132
PASS: Expected sum 5181, DUT sum 5181
PASS: Expected sum 5201, DUT sum 5201
PASS: Expected sum 523e, DUT sum 523e
PASS: Expected sum 5250, DUT sum 5250
PASS: Expected sum 52fb, DUT sum 52fb
PASS: Expected sum 53f3, DUT sum 53f3
PASS: Expected sum 54ce, DUT sum 54ce
PASS: Expected sum 555a, DUT sum 555a
PASS: Expected sum 564c, DUT sum 564c
PASS: Expected sum 5730, DUT sum 5730
PASS: Expected sum 5815, DUT sum 5815
PASS: Expected sum 58f6, DUT sum 58f6
PASS: Expected sum 59e4, DUT sum 59e4
PASS: Expected sum 5a8e, DUT sum 5a8e
PASS: Expected sum 5b2e, DUT sum 5b2e
PASS: Expected sum 5c01, DUT sum 5c01
PASS: Expected sum 5cd9, DUT sum 5cd9
PASS: Expected sum 5cda, DUT sum 5cda
PASS: Expected sum 5da2, DUT sum 5da2
